gene;days;raw_data;ct_value;dt_ct;x2_dct;mean2dct;sd2dct
pax6;d7;N5;26,407;9,529000000000000;0,001353583872705483;0,001113850118374157;2,12530157522733e-04
pax6;d7;N6;26,816;9,910000000000000;0,001039424006302109;0,001113850118374157;2,12530157522733e-04
pax6;d11;N7;26,240;10,745999999999999;0,000582279722817692;0,000832785029034435;3,78505530767820e-04
pax6;d11;N8;26,094;10,592000000000001;0,000647873603807208;0,000832785029034435;3,78505530767820e-04
pax6;d11;N9;26,217;9,622999999999998;0,001268201760478404;0,000832785029034435;3,78505530767820e-04
pax6;d15;N10;24,989;10,393000000000001;0,000743695673683233;0,000925553902054457;4,08653936584204e-04
pax6;d15;N11;25,201;9,487000000000000;0,001393568853240116;0,000925553902054457;4,08653936584204e-04
pax6;d15;N12;25,244;10,611000000000001;0,000639397179240022;0,000925553902054457;4,08653936584204e-04
pax6;d16;N13;25,234;9,414000000000001;0,001465897556166376;0,118332806864036216;2,01592584300493e-01
pax6;d16;N14;25,099;8,690000000000001;0,002421304101443331;0,118332806864036216;2,01592584300493e-01
pax6;d16;N15;17,954;1,510000000000002;0,351111218934498925;0,118332806864036216;2,01592584300493e-01
Foxg1;d0;O1;27,995;12,460000000000001;0,000177486879555702;0,000282945149618699;1,74962623637300e-04
Foxg1;d0;O2;27,870;12,389000000000001;0,000186440124262781;0,000282945149618699;1,74962623637300e-04
Foxg1;d0;O3;27,756;11,010000000000002;0,000484908445037615;0,000282945149618699;1,74962623637300e-04
Foxg1;d7;O4;27,679;11,169999999999998;0,000434005215413365;0,000523746522152919;8,78322810890892e-05
Foxg1;d7;O5;27,766;10,887999999999998;0,000527697950214528;0,000523746522152919;8,78322810890892e-05
Foxg1;d7;O6;27,586;10,680000000000000;0,000609536400830865;0,000523746522152919;8,78322810890892e-05
Foxg1;d11;O7;27,338;11,844000000000001;0,000272019934282063;0,288184521683127526;4,98617302108864e-01
Foxg1;d11;O8;27,010;11,508000000000001;0,000343357714822539;0,288184521683127526;4,98617302108864e-01
Foxg1;d11;O9;16,805;0,210999999999999;0,863938187400278057;0,288184521683127526;4,98617302108864e-01
Foxg1;d15;O10;26,363;11,766999999999999;0,000286932697368108;0,000345700735619899;1,54341824432769e-04
Foxg1;d15;O11;26,621;10,906999999999998;0,000520793838296761;0,000345700735619899;1,54341824432769e-04
Foxg1;d15;O12;26,723;12,090000000000000;0,000229375671194827;0,000345700735619899;1,54341824432769e-04
Foxg1;d16;O13;26,943;11,123000000000001;0,000448377032373498;0,000619126191915002;1,48774900949806e-04
Foxg1;d16;O14;26,847;10,438000000000002;0,000720856643399820;0,000619126191915002;1,48774900949806e-04
Foxg1;d16;O15;26,949;10,505000000000003;0,000688144899971688;0,000619126191915002;1,48774900949806e-04
GAPDH;d0;P1;15,535;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d0;P2;15,481;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d0;P3;16,746;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d7;P4;16,509;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d7;P5;16,878;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d7;P6;16,906;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d11;P7;15,494;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d11;P8;15,502;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d11;P9;16,594;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d15;P10;14,596;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d15;P11;15,714;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d15;P12;14,633;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d16;P13;15,820;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d16;P14;16,409;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
GAPDH;d16;P15;16,444;0,000000000000000;1,000000000000000000;1,000000000000000000;0,00000000000000e+00
